neg,neu,pos,compound,subjectivity
0.10115789473684211,0.7568421052631579,0.14194736842105263,0.30545263157894736,0.07298629790797717
0.0956829268292683,0.7448048780487805,0.15951219512195122,0.1747170731707317,-0.003252742289327652
0.080725,0.7867750000000001,0.132525,0.1490925,0.009896795835337502
0.0802814814814815,0.6556444444444445,0.26406666666666667,0.34606148148148147,0.10850008815079361
0.05684444444444444,0.7056888888888888,0.2374444444444444,0.49724666666666667,0.15409502825526217
0.06721739130434783,0.7303478260869565,0.2023478260869565,0.45950869565217384,0.22068593805550327
0.06870000000000001,0.75545,0.17585,0.41389250000000005,0.08181684465062125
0.0343235294117647,0.7995,0.1662058823529412,0.4758970588235294,-0.14717229103335155
0.06737499999999999,0.76071875,0.17190625,0.386440625,0.10435286415901388
0.1605,0.68325,0.15658333333333332,0.2758333333333333,0.2920826519159853
0.047162162162162166,0.7855405405405406,0.16728378378378378,0.4024648648648648,-0.03940622429908142
0.0728,0.7602,0.1672,0.23268,-0.2998333333333333
